INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 241
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 242
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 243
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 244
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 245
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 246
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 247
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 248
INFO [typing_duell::user_interface] iterating over text to type, current char: k, current index: 249
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 250
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 251
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 252
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 253
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 254
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 255
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 256
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 257
INFO [typing_duell::user_interface] iterating over text to type, current char: n, current index: 258
INFO [typing_duell::user_interface] iterating over text to type, current char: c, current index: 259
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 260
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 261
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 262
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 263
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 264
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 265
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 266
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 267
INFO [typing_duell::user_interface] iterating over text to type, current char: L, current index: 268
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 269
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 270
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 271
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 272
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 273
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 274
INFO [typing_duell::user_interface] iterating over text to type, current char: p, current index: 275
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 276
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 277
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 278
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 279
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 280
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 281
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 282
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 283
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 284
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 285
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 286
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 287
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 288
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 289
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 290
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 291
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 292
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 293
INFO [typing_duell::user_interface] iterating over text to type, current char: ., current index: 294
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 295
INFO [typing_duell::user_interface] iterating over text to type, current char: L, current index: 296
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 297
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 298
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 299
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 300
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 301
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 302
INFO [typing_duell::user_interface] iterating over text to type, current char: p, current index: 303
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 304
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 305
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 306
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 307
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 308
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 309
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 310
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 311
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 312
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 313
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 314
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 315
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 316
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 317
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 318
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 319
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 320
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 321
INFO [typing_duell::user_interface] iterating over text to type, current char: ,, current index: 322
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 323
INFO [typing_duell::user_interface] iterating over text to type, current char: c, current index: 324
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 325
INFO [typing_duell::user_interface] iterating over text to type, current char: n, current index: 326
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 327
